shot,travel_date,flight_no,dep,arr,dur_min,saver_total,base,tax,lite
s001,2026-09-13,6218,06:05,08:20,135,6530,5065,1465,6305
s002,2026-09-13,320,08:00,10:20,140,6530,5065,1465,6305
s003,2026-09-13,675,08:45,11:00,135,6530,5065,1465,6305
s004,2026-09-13,6107,09:30,11:55,145,6530,5065,1465,6305
s005,2026-09-13,6022,14:00,16:25,145,6530,5065,1465,6305
s006,2026-09-13,8318,14:45,17:00,135,6530,5065,1465,6305
s007,2026-09-13,864,15:30,17:45,135,6530,5065,1465,6305
s008,2026-09-13,327,16:15,18:35,140,6530,5065,1465,6305
s009,2026-09-13,6706,17:00,19:15,135,6530,5065,1465,6305
s010,2026-09-13,329,18:00,20:15,135,6530,5065,1465,6305
s011,2026-09-13,354,19:00,21:25,145,6530,5065,1465,6305
s012,2026-09-13,303,20:00,22:10,130,6530,5065,1465,6305
s013,2026-09-13,853,20:45,23:00,135,6530,5065,1465,6305
s014,2026-09-13,395,21:45,00:05,140,6530,5065,1465,6305
s015,2026-09-13,6114,22:45,01:05,140,6530,5065,1465,6305
s016,2026-09-13,322,23:30,01:45,135,6530,5065,1465,6305
s017,2026-09-13,6328,10:15,12:35,140,6688,5215,1473,6357
s018,2026-09-13,6047,11:00,13:15,135,6688,5215,1473,6357
s019,2026-09-13,6676,12:00,14:15,135,6688,5215,1473,6357
s020,2026-09-13,324,13:00,15:10,130,6898,5415,1483,6431
s021,2026-09-15,6107,09:30,11:55,145,6530,5065,1465,6305
s022,2026-09-15,6328,10:15,12:35,140,6530,5065,1465,6305
s023,2026-09-15,6047,11:00,13:15,135,6530,5065,1465,6305
s024,2026-09-15,6676,12:00,14:15,135,6530,5065,1465,6305
s025,2026-09-15,324,13:00,15:10,130,6530,5065,1465,6305
s026,2026-09-15,6022,14:00,16:25,145,6530,5065,1465,6305
