flight_no,dep,arr,dur_min,band,lite,saver_card,panel_total,base,tax,family_ok,selected
353,03:30,05:55,145,1,6546,7019,6546,,,0,0
449,05:00,07:25,145,1,6546,7019,6546,,,0,0
6218,06:05,08:30,145,2,6546,7019,6546,,,0,1
6814,07:00,09:25,145,2,6996,7469,7469,5959,1510,1,0
320,08:00,10:25,145,2,6546,7019,7019,5530,1489,1,0
675,08:45,11:10,145,2,6546,7019,7019,5530,1489,1,0
6107,09:30,11:55,145,3,6546,7019,7019,5530,1489,1,1
6328,10:15,12:40,145,3,6546,7019,7019,5530,1489,1,0
6047,11:00,13:25,145,3,6546,7019,7019,5530,1489,1,0
6051,11:45,14:15,150,3,6546,7019,7019,5530,1489,1,0
6676,12:30,14:55,145,4,6546,7019,7019,5530,1489,1,1
324,13:15,15:40,145,4,6546,7019,7019,5530,1489,1,0
6022,14:00,16:25,145,4,6546,7019,7019,5530,1489,1,0
6318,14:45,17:10,145,4,6546,7019,7019,5530,1489,1,0
864,15:30,17:55,145,5,6546,7019,7019,5530,1489,1,1
327,16:15,18:40,145,5,6546,7019,7019,5530,1489,1,0
6706,17:00,19:25,145,5,6546,7019,7019,5530,1489,1,0
328,17:45,20:10,145,5,6546,7019,7019,5530,1489,1,0
329,18:30,20:55,145,6,6696,7169,7169,5673,1496,1,1
354,19:15,21:40,145,6,6996,7469,7469,5959,1510,1,0
303,20:00,22:25,145,6,6996,7469,7469,5959,1510,1,0
853,21:00,23:25,145,7,6696,7169,7169,5673,1496,1,0
395,22:00,00:25,145,7,6546,7019,7019,5530,1489,1,0
6114,23:00,01:25,145,7,6546,7019,7019,5530,1489,1,0
