shot,travel_date,band,flight_no,dep,arr,dur_min,saver_card,panel_total,base,tax,family_ok
s001,2026-09-13,2,6218,06:05,08:20,135,6530,6530,5065,1465,1
s004,2026-09-13,3,6107,09:30,11:55,145,6530,6530,5065,1465,1
s019,2026-09-13,4,6676,12:00,14:15,135,6688,6688,5215,1473,1
s007,2026-09-13,5,864,15:30,17:45,135,6530,6530,5065,1465,1
s010,2026-09-13,6,329,18:00,20:15,135,6530,6530,5065,1465,1
s039,2026-09-15,2,6218,06:05,08:20,135,8158,8158,6615,1543,1
s021,2026-09-15,3,6107,09:30,11:55,145,6530,6530,5065,1465,1
s024,2026-09-15,4,6676,12:00,14:15,135,6530,6530,5065,1465,1
s028,2026-09-15,5,864,15:30,17:45,135,6530,6530,5065,1465,1
s034,2026-09-15,6,329,18:00,20:15,135,6898,6431,,,0
s043,2026-09-19,2,6218,06:05,08:20,135,6530,6530,5065,1465,1
s047,2026-09-19,3,6107,09:30,11:55,145,6530,6530,5065,1465,1
s057,2026-09-19,4,6676,12:00,14:15,135,6688,6688,5215,1473,1
s051,2026-09-19,5,864,15:30,17:45,135,6530,6530,5065,1465,1
s060,2026-09-19,6,329,18:00,20:15,135,6898,6898,5415,1483,1
s063,2026-09-27,2,6218,06:05,08:20,135,6530,6530,5065,1465,1
s065,2026-09-27,3,6107,09:30,11:55,145,6530,6530,5065,1465,1
s075,2026-09-27,4,6676,12:00,14:15,135,7160,7160,5665,1495,1
s074,2026-09-27,5,864,15:30,17:45,135,6898,6898,5415,1483,1
s077,2026-09-27,6,329,18:00,20:15,135,7160,7160,5665,1495,1
s125,2026-11-11,4,324,13:15,15:40,145,9665,9665,8050,1615,1
s115,2026-11-11,6,354,19:15,21:40,145,8720,8720,7150,1570,1
s102,2026-10-12,2,6218,06:05,08:20,135,6898,6898,5415,1483,1
s084,2026-10-12,3,6107,09:30,11:55,145,6530,6530,5065,1465,1
s087,2026-10-12,4,6676,12:00,14:10,130,6530,6530,5065,1465,1
s090,2026-10-12,5,864,15:30,17:45,135,6530,6530,5065,1465,1
s093,2026-10-12,6,329,18:00,20:15,135,6530,6530,5065,1465,1
s119,2026-11-11,2,6218,06:05,08:30,145,9192,9192,7600,1592,1
s108,2026-11-11,3,6107,09:30,11:55,145,8720,8720,7150,1570,1
s121,2026-11-11,5,864,15:30,17:55,145,9192,9192,7600,1592,1
