travel_date,source_id,time_ist,origin,destination,carrier,flight_number,departure_time,stops,duration_minutes,fare_family_raw,availability,payable_fare,base_fare,taxes,fees,user_development_fee,checked_baggage_kg,change_permitted,cancellation_permitted,source_group,notes
2026-09-13,indigo-direct,20:54,DEL,BOM,6E,6218,06:05,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s001
2026-09-13,indigo-direct,20:56,DEL,BOM,6E,6107,09:30,0,145,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s004
2026-09-13,indigo-direct,21:02,DEL,BOM,6E,6676,12:00,0,135,Saver fare,AVAILABLE,6688.00,5215.00,1473.00,,,15,FEE,FEE,,s019
2026-09-13,indigo-direct,20:57,DEL,BOM,6E,864,15:30,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s007
2026-09-13,indigo-direct,20:59,DEL,BOM,6E,329,18:00,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s010
2026-09-15,indigo-direct,21:08,DEL,BOM,6E,6218,06:05,0,135,Saver fare,AVAILABLE,8158.00,6615.00,1543.00,,,15,FEE,FEE,,s039
2026-09-15,indigo-direct,21:03,DEL,BOM,6E,6107,09:30,0,145,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s021
2026-09-15,indigo-direct,21:04,DEL,BOM,6E,6676,12:00,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s024
2026-09-15,indigo-direct,21:05,DEL,BOM,6E,864,15:30,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s028
2026-09-15,indigo-direct,21:07,DEL,BOM,6E,329,18:00,0,135,Saver fare,AVAILABLE,6898.00,5415.00,1483.00,,,15,FEE,FEE,,s034
2026-09-19,indigo-direct,21:10,DEL,BOM,6E,6218,06:05,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s043
2026-09-19,indigo-direct,21:11,DEL,BOM,6E,6107,09:30,0,145,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s047
2026-09-19,indigo-direct,21:13,DEL,BOM,6E,6676,12:00,0,135,Saver fare,AVAILABLE,6688.00,5215.00,1473.00,,,15,FEE,FEE,,s057
2026-09-19,indigo-direct,21:12,DEL,BOM,6E,864,15:30,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s051
2026-09-19,indigo-direct,21:14,DEL,BOM,6E,329,18:00,0,135,Saver fare,AVAILABLE,6898.00,5415.00,1483.00,,,15,FEE,FEE,,s060
2026-09-27,indigo-direct,21:18,DEL,BOM,6E,6218,06:05,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s063
2026-09-27,indigo-direct,21:18,DEL,BOM,6E,6107,09:30,0,145,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s065
2026-09-27,indigo-direct,21:20,DEL,BOM,6E,6676,12:00,0,135,Saver fare,AVAILABLE,7160.00,5665.00,1495.00,,,15,FEE,FEE,,s075
2026-09-27,indigo-direct,21:20,DEL,BOM,6E,864,15:30,0,135,Saver fare,AVAILABLE,6898.00,5415.00,1483.00,,,15,FEE,FEE,,s074
2026-09-27,indigo-direct,21:21,DEL,BOM,6E,329,18:00,0,135,Saver fare,AVAILABLE,7160.00,5665.00,1495.00,,,15,FEE,FEE,,s077
2026-10-12,indigo-direct,21:46,DEL,BOM,6E,6218,06:05,0,135,Saver fare,AVAILABLE,6898.00,5415.00,1483.00,,,15,FEE,FEE,,s102
2026-10-12,indigo-direct,21:39,DEL,BOM,6E,6107,09:30,0,145,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s084
2026-10-12,indigo-direct,21:40,DEL,BOM,6E,6676,12:00,0,130,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s087
2026-10-12,indigo-direct,21:41,DEL,BOM,6E,864,15:30,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s090
2026-10-12,indigo-direct,21:43,DEL,BOM,6E,329,18:00,0,135,Saver fare,AVAILABLE,6530.00,5065.00,1465.00,,,15,FEE,FEE,,s093
2026-11-11,indigo-direct,22:09,DEL,BOM,6E,6218,06:05,0,145,Saver fare,AVAILABLE,9192.00,7600.00,1592.00,,,15,FEE,FEE,,s119
2026-11-11,indigo-direct,22:05,DEL,BOM,6E,6107,09:30,0,145,Saver fare,AVAILABLE,8720.00,7150.00,1570.00,,,15,FEE,FEE,,s108
2026-11-11,indigo-direct,22:10,DEL,BOM,6E,324,13:15,0,145,Saver fare,AVAILABLE,9665.00,8050.00,1615.00,,,15,FEE,FEE,,s125
2026-11-11,indigo-direct,22:10,DEL,BOM,6E,864,15:30,0,145,Saver fare,AVAILABLE,9192.00,7600.00,1592.00,,,15,FEE,FEE,,s121
2026-11-11,indigo-direct,22:08,DEL,BOM,6E,354,19:15,0,145,Saver fare,AVAILABLE,8720.00,7150.00,1570.00,,,15,FEE,FEE,,s115
